JourMot,JourChiffre,Mois,Titre,Lien,Emotion,Date,Type
Samedi,18,Juin,État d'urgence en Équateur après des protestations contre l'inflation,https://www.rts.ch/info/monde/13182914-etat-durgence-en-equateur-apres-des-protestations-contre-linflation.html,Bad,18.06.2022,International
Samedi,18,Juin,Des dizaines de morts lors des pluies de mousson au Bangladesh,https://www.rts.ch/info/monde/13182877-des-dizaines-de-morts-lors-des-pluies-de-mousson-au-bangladesh.html,Bad,18.06.2022,Environnement
Samedi ,18,Juin,Des médias reconsidèrent leur manière d'illustrer le thème de la canicule,https://www.rts.ch/info/suisse/13180824-des-medias-reconsiderent-leur-maniere-dillustrer-le-theme-de-la-canicule.html,Bad,18.06.2022,Environnement
Samedi,18,Juin,"Le touriste post-Covid veut le contact pas l'exotisme à tout prix",https://www.rts.ch/info/monde/13175634-le-touriste-postcovid-veut-le-contact-pas-lexotisme-a-tout-prix.html,Good,18.06.2022,Covid
Samedi,18,Juin,Les autorités chinoises accusées d'utiliser les technologies anti-Covid pour étouffer des mouvements sociaux,https://www.rts.ch/info/monde/13180895-les-autorites-chinoises-accusees-dutiliser-les-technologies-anticovid-pour-etouffer-des-mouvements-sociaux.html,Bad,18.06.2022,Covid
Samedi,18,Juin,Les autoportraits déroutants de Karl Beaudelere à la Collection de l'Art Brut,https://www.rts.ch/info/culture/arts-visuels/13168742-les-autoportraits-deroutants-de-karl-beaudelere-a-la-collection-de-lart-brut.html,Neutral,18.06.2022,Culture
Samedi,18,Juin,La Suisse se remet à produire de l'éthanol grâce à une sucrerie bernoise,https://www.rts.ch/info/suisse/13183054-la-suisse-se-remet-a-produire-de-lethanol-grace-a-une-sucrerie-bernoise.html,Neutral,18.06.2022,Faits divers
Samedi ,18,Juin,Français d'outre-mer et de l'étranger aux urnes pour le second tour des législatives,https://www.rts.ch/info/monde/13183074-francais-doutremer-et-de-letranger-aux-urnes-pour-le-second-tour-des-legislatives.html,Bad,18.06.2022,International
Samedi,18,Juin,"Prévenir la violence dans le football amateur ""un travail permanent""",https://www.rts.ch/info/regions/geneve/13178286-prevenir-la-violence-dans-le-football-amateur-un-travail-permanent.html,Good,18.06.2022,Sport
Samedi,18,Juin,Des milliers de personnes à la Pride de Zurich pour la transidentité,https://www.rts.ch/info/regions/autres-cantons/13183212-des-milliers-de-personnes-a-la-pride-de-zurich-pour-la-transidentite.html,Good,18.06.2022,Politique Suisse
Samedi,18,Juin,La Suisse îlot de cherté pour les concerts aussi,https://www.rts.ch/info/culture/musiques/13181158-la-suisse-ilot-de-cherte-pour-les-concerts-aussi.html,Bad,18.06.2022,Economie
Samedi,18,Juin,Les incendies gagnent du terrain en Espagne,https://www.rts.ch/info/monde/13183127-les-incendies-gagnent-du-terrain-en-espagne.html,Bad,18.06.2022,Environnement
Samedi,18,Juin,Des scientifiques étudient le patrimoine génétique des lynx suisses,https://www.rts.ch/info/suisse/13181440-des-scientifiques-etudient-le-patrimoine-genetique-des-lynx-suisses.html,Neutral,18.06.2022,Sciences
Samedi,18,Juin,Les vaccins anti-Covid pour les tout petits désormais possibles aux Etats-Unis,https://www.rts.ch/info/monde/13183443-les-vaccins-anticovid-pour-les-tout-petits-desormais-possibles-aux-etatsunis.html,Neutral,18.06.2022,Covid
Dimanche,19,Juin,Victoire pour le premier syndicat dans un magasin américain Apple,https://www.rts.ch/info/monde/13183887-victoire-pour-le-premier-syndicat-dans-un-magasin-americain-apple.html ,Good,19.06.2022,International
Dimanche,19,Juin,"Le film d'animation ""Le Petit Nicolas"" récompensé au Festival d'Annecy",https://www.rts.ch/info/culture/cinema/13184236-le-film-danimation-le-petit-nicolas-recompense-au-festival-dannecy.html,Neutral,19.06.2022,Culture
Dimanche,19,Juin,Forte affluence au Caribana Festival après deux ans d'absence,https://www.rts.ch/info/culture/musiques/13184159-forte-affluence-au-caribana-festival-apres-deux-ans-dabsence.html,Neutral,19.06.2022,Culture
Dimanche,19,Juin,Un roman graphique lève le voile sur la fausse couche,https://www.rts.ch/info/culture/livres/13174457-un-roman-graphique-leve-le-voile-sur-la-fausse-couche.html,Good,19.06.2022,Culture
Dimanche,19,Juin,Un week-end étouffant dans toute la Suisse,https://www.rts.ch/info/suisse/13182928-un-weekend-etouffant-dans-toute-la-suisse.html,Bad,19.06.2022,Environnement
Dimanche,19,Juin,Le cours des cryptomonnaies en chute libre,https://www.rts.ch/info/economie/13183290-le-cours-des-cryptomonnaies-en-chute-libre.html,Bad,19.06.2022,Economie
Dimanche,19,Juin,L'espoir de ressusciter l'accord sur le nucléaire iranien s'amenuise,https://www.rts.ch/info/monde/13174489-lespoir-de-ressusciter-laccord-sur-le-nucleaire-iranien-samenuise.html,Bad,19.06.2022,International
Dimanche,19,Juin,Des ours polaires s'adaptant à la fonte des glaces découverts au Groenland,https://www.rts.ch/info/sciences-tech/environnement/13184314-des-ours-polaires-sadaptant-a-la-fonte-des-glaces-decouverts-au-groenland.html,Good,19.06.2022,Environnement
Dimanche,19,Juin,La guerre en Ukraine pourrait durer des années selon le secrétaire général de l'Otan,https://www.rts.ch/info/monde/13181278-la-guerre-en-ukraine-pourrait-durer-des-annees-selon-le-secretaire-general-de-lotan.html,Bad,19.06.2022,International
