JourMot,JourChiffre,Mois,Lien,Emotion,Date
Samedi,18,Juin,https://www.rts.ch/info/monde/13182914-etat-durgence-en-equateur-apres-des-protestations-contre-linflation.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/monde/13182877-des-dizaines-de-morts-lors-des-pluies-de-mousson-au-bangladesh.html,Bad,18.06.2022
Samedi ,18,Juin,https://www.rts.ch/info/suisse/13180824-des-medias-reconsiderent-leur-maniere-dillustrer-le-theme-de-la-canicule.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/monde/13175634-le-touriste-postcovid-veut-le-contact-pas-lexotisme-a-tout-prix.html,Good,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/monde/13180895-les-autorites-chinoises-accusees-dutiliser-les-technologies-anticovid-pour-etouffer-des-mouvements-sociaux.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/culture/arts-visuels/13168742-les-autoportraits-deroutants-de-karl-beaudelere-a-la-collection-de-lart-brut.html,Neutral,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/suisse/13183054-la-suisse-se-remet-a-produire-de-lethanol-grace-a-une-sucrerie-bernoise.html,Neutral,18.06.2022
Samedi ,18,Juin,https://www.rts.ch/info/monde/13183074-francais-doutremer-et-de-letranger-aux-urnes-pour-le-second-tour-des-legislatives.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/regions/geneve/13178286-prevenir-la-violence-dans-le-football-amateur-un-travail-permanent.html,Good,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/regions/autres-cantons/13183212-des-milliers-de-personnes-a-la-pride-de-zurich-pour-la-transidentite.html,Good,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/culture/musiques/13181158-la-suisse-ilot-de-cherte-pour-les-concerts-aussi.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/monde/13183127-les-incendies-gagnent-du-terrain-en-espagne.html,Bad,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/suisse/13181440-des-scientifiques-etudient-le-patrimoine-genetique-des-lynx-suisses.html,Neutral,18.06.2022
Samedi,18,Juin,https://www.rts.ch/info/monde/13183443-les-vaccins-anticovid-pour-les-tout-petits-desormais-possibles-aux-etatsunis.html,Neutral,18.06.2022
Dimanche,19,Juin,https://www.rts.ch/info/monde/13183887-victoire-pour-le-premier-syndicat-dans-un-magasin-americain-apple.html ,Good,19.06.2022
Dimanche,19,Juin,https://www.rts.ch/info/culture/cinema/13184236-le-film-danimation-le-petit-nicolas-recompense-au-festival-dannecy.html,Neutral,19.06.2022
Dimanche,19,Juin,https://www.rts.ch/info/culture/musiques/13184159-forte-affluence-au-caribana-festival-apres-deux-ans-dabsence.html,Neutral,19.06.2022
Dimanche,19,Juin,https://www.rts.ch/info/culture/livres/13174457-un-roman-graphique-leve-le-voile-sur-la-fausse-couche.html,Good,19.06.2022
Dimanche,19,Juin,https://www.rts.ch/info/suisse/13182928-un-weekend-etouffant-dans-toute-la-suisse.html,Bad,19.06.2022
